user_id,recipe_id,date,u,i,is_rating_above_average,
578353,316122,1/2/2011,5586,57640,1,Validation
7093,257243,10/20/2007,5589,123152,1,Validation
291292,196844,11/27/2008,5591,173250,1,Validation
1730072,196844,11/14/2010,13309,173250,1,Validation
1433633,306035,12/24/2009,5592,14412,0,Validation
145840,66245,6/26/2004,5593,137589,1,Validation
766542,297008,12/11/2008,5594,40183,1,Validation
335326,173369,7/19/2006,5596,36322,1,Validation
99415,32954,3/11/2006,5597,27824,1,Validation
590292,264490,4/21/2008,5600,2752,1,Validation
1607646,254530,7/11/2010,5601,149557,0,Validation
69718,227504,1/5/2008,5603,140282,0,Validation
107504,55603,11/12/2003,5604,172931,0,Validation
97686,150730,4/19/2006,5606,90790,1,Validation
214254,164844,4/29/2008,5607,116349,1,Validation
125984,261311,6/3/2010,5608,37542,0,Validation
205983,96125,4/24/2006,5609,166160,1,Validation
278696,137023,8/9/2006,5616,114230,1,Validation
293924,425478,2/11/2011,5620,175978,1,Validation
53143,17161,1/15/2003,5626,169864,0,Validation
972829,249827,2/12/2009,5627,71352,1,Validation
512696,255733,4/12/2009,5628,77329,1,Validation
426156,329391,12/26/2009,5629,86593,1,Validation
716215,346678,10/29/2009,5630,144762,0,Validation
625864,74527,3/25/2008,7524,113518,1,Validation
242201,52180,9/12/2006,5633,118392,1,Validation
105934,52180,10/23/2003,15752,118392,0,Validation
836171,26604,10/20/2008,5636,45364,1,Validation
121789,14834,1/14/2004,5637,52173,0,Validation
1236101,122051,6/7/2009,5638,17809,1,Validation
274238,284667,1/22/2010,5639,138982,1,Validation
192554,340469,12/12/2009,5640,94082,1,Validation
271803,149100,10/3/2007,18952,121599,1,Validation
665614,354489,10/18/2009,5641,122717,1,Validation
396152,307477,8/12/2011,5643,69132,1,Validation
437904,185525,2/22/2012,5647,152423,0,Validation
2001359614,487998,4/8/2017,5649,26797,1,Validation
334014,158935,8/14/2013,5651,139527,1,Validation
129255,177648,9/24/2008,5652,171947,0,Validation
57491,197970,10/30/2011,5653,113560,1,Validation
354763,197970,11/28/2006,23224,113560,1,Validation
107140,88305,6/18/2011,5654,158199,0,Validation
198393,63899,2/25/2007,5655,171249,1,Validation
28604,23021,4/7/2004,5656,167626,1,Validation
710810,50114,8/21/2011,7636,130103,1,Validation
206442,318334,9/22/2008,5661,171611,0,Validation
424967,273200,1/8/2008,5663,66234,0,Validation
131042,97977,8/24/2004,5665,2793,1,Validation
277922,6929,2/1/2006,5666,42686,1,Validation
362160,349278,10/9/2009,5667,121883,1,Validation
429710,351280,3/26/2009,5668,104018,1,Validation
683666,295593,4/29/2008,5674,162808,1,Validation
162775,355460,2/13/2009,5675,76232,1,Validation
800450,415178,4/17/2010,7911,169002,1,Validation
539543,240577,11/12/2010,5677,173744,1,Validation
41630,169091,3/23/2009,5679,91585,1,Validation
1163488,169091,5/8/2009,10135,91585,1,Validation
202679,91568,3/17/2005,7588,102726,1,Validation
170891,81185,11/16/2004,5680,113677,1,Validation
1352934,341817,12/23/2009,5682,73216,1,Validation
300020,10360,2/6/2007,5685,2808,1,Validation
545539,10360,4/13/2008,5686,2808,1,Validation
20591,49910,4/28/2005,5688,144463,1,Validation
21618,12803,10/20/2001,5689,164480,1,Validation
345446,255635,2/17/2008,5692,147525,1,Validation
619794,7524,8/19/2008,5693,129900,1,Validation
584571,232633,10/22/2007,5694,174631,1,Validation
368889,104444,10/6/2008,16553,128489,1,Validation
394288,366332,10/5/2009,5695,139894,1,Validation
1559200,36367,6/10/2010,5696,133810,1,Validation
306833,109179,4/2/2011,5697,96788,1,Validation
50214,19316,6/23/2005,5698,150804,1,Validation
30661,18569,2/10/2002,5699,66738,1,Validation
24704,18569,6/14/2002,23878,66738,0,Validation
39547,89534,12/21/2004,5702,161193,1,Validation
1157591,89534,11/15/2009,13153,161193,0,Validation
177688,150258,2/23/2006,5704,176022,1,Validation
587361,286521,3/25/2008,5705,7743,1,Validation
227486,15382,9/19/2008,5706,129949,1,Validation
124404,157743,9/30/2007,5709,130216,1,Validation
203717,135766,10/27/2005,5711,170646,0,Validation
439066,241502,7/13/2010,5712,168955,1,Validation
2001080258,139133,9/20/2018,5713,34423,1,Validation
2000695489,481179,8/19/2017,5714,140178,1,Validation
584814,190921,11/8/2007,5715,117354,1,Validation
296568,216213,9/30/2007,5716,171063,1,Validation
609521,189638,10/9/2007,5719,87981,0,Validation
636006,359686,5/15/2011,5721,82643,1,Validation
994822,359686,3/11/2009,21274,82643,0,Validation
192908,207282,3/8/2007,5722,148657,0,Validation
933967,171160,8/25/2008,5724,59221,1,Validation
244654,173288,11/8/2009,5725,20125,1,Validation
578328,315263,8/19/2008,5728,2836,1,Validation
274057,171484,2/10/2009,5729,85097,1,Validation
122175,119419,4/1/2006,5730,157793,1,Validation
35918,17317,12/20/2004,5734,38542,1,Validation
885796,17317,12/22/2009,16180,38542,1,Validation
36449,17879,4/17/2002,5735,121311,0,Validation
70903,305508,6/22/2008,5736,7241,1,Validation
131595,55447,8/26/2004,5738,148581,1,Validation
122776,26801,8/2/2004,5739,110279,0,Validation
62086,28169,2/3/2003,5740,156446,0,Validation
147145,75736,5/30/2008,5741,88512,1,Validation
83541,86016,11/12/2006,5742,20011,1,Validation
13817,416110,8/18/2013,5743,69149,1,Validation
176160,21791,1/12/2009,5745,21094,1,Validation
92184,16454,3/28/2005,5746,148678,1,Validation
540322,259626,11/2/2007,5747,173528,0,Validation
791287,322153,7/15/2009,5753,82229,1,Validation
1056623,322153,1/10/2009,15085,82229,1,Validation
879108,398884,9/5/2011,16243,92448,1,Validation
554496,328186,9/13/2010,5756,108813,0,Validation
1130271,395309,11/7/2009,5757,106420,0,Validation
815814,147281,12/6/2009,5758,36091,0,Validation
1177249,415253,7/4/2010,5759,166128,1,Validation
65768,368124,9/10/2009,5763,167698,1,Validation
1138246,177908,10/3/2013,5764,41191,1,Validation
273527,132321,2/14/2006,5772,7198,0,Validation
87024,360133,4/27/2011,5773,99193,1,Validation
1016844,360133,7/19/2011,10551,99193,1,Validation
1891,81130,9/5/2005,5775,25800,1,Validation
136237,81130,8/1/2004,18414,25800,1,Validation
645907,290662,12/8/2008,5780,119100,1,Validation
648343,252128,11/18/2007,5781,169408,1,Validation
297761,388195,1/27/2010,5783,153268,1,Validation
781859,327896,11/20/2008,5784,73373,1,Validation
1458294,323331,6/18/2010,5789,168170,1,Validation
326430,345607,6/6/2010,5791,174634,1,Validation
162888,8286,1/15/2006,5792,94765,1,Validation
369037,8286,1/21/2007,23446,94765,1,Validation
468525,83836,4/8/2010,17811,118612,1,Validation
531163,216847,10/12/2009,5794,151814,1,Validation
104433,216847,6/21/2009,12998,151814,1,Validation
468398,216847,5/11/2011,20536,151814,1,Validation
961224,254437,11/12/2008,5795,65874,1,Validation
63498,45770,12/7/2002,5796,141701,1,Validation
451675,210787,2/16/2007,5800,2867,1,Validation
450966,210787,2/17/2007,5801,2867,0,Validation
907492,223662,5/27/2009,5802,168765,1,Validation
494680,404553,1/14/2010,5803,2871,0,Validation
67835,83593,11/8/2004,5804,170977,1,Validation
1592311,420602,7/10/2010,5806,56780,1,Validation
842751,304866,6/26/2008,5807,175649,1,Validation
1708738,404803,10/20/2010,5808,130600,0,Validation
618529,256119,2/17/2009,5811,63563,1,Validation
313633,143566,10/22/2007,5815,159695,1,Validation
139123,280567,9/2/2008,5821,22676,0,Validation
129836,256441,10/23/2007,5822,99020,0,Validation
398216,224358,7/19/2009,5824,105990,1,Validation
1029268,374852,5/12/2010,5825,19024,0,Validation
820500,319123,8/12/2008,5828,68561,1,Validation
810307,380638,8/23/2009,5830,151412,0,Validation
151679,313652,9/4/2008,5833,123872,1,Validation
364326,207232,7/8/2007,5834,174212,1,Validation
134617,241508,7/25/2007,5835,12500,1,Validation
108296,212275,6/30/2007,5836,147588,0,Validation
437679,257728,9/12/2009,5838,150020,1,Validation
34254,340417,11/29/2009,5839,175782,1,Validation
122671,125933,9/9/2008,5840,16832,1,Validation
171087,297945,2/18/2009,5841,135718,1,Validation
244903,97776,9/30/2006,5844,2932,1,Validation
487266,317297,11/6/2013,5845,99365,1,Validation
174090,137979,2/18/2010,5846,169631,1,Validation
471762,241090,7/19/2007,5847,2938,1,Validation
323769,298726,4/23/2008,5850,19574,1,Validation
45058,359556,8/10/2009,5851,165689,1,Validation
1657716,450671,6/24/2011,5852,2942,1,Validation
38961,270342,3/10/2008,5853,10055,1,Validation
554666,316207,5/28/2009,5858,66890,1,Validation
290757,207290,5/16/2009,5860,144847,1,Validation
616718,207290,2/3/2010,12384,144847,0,Validation
79946,85483,6/21/2007,5861,176747,0,Validation
330505,313699,9/13/2008,5862,175982,1,Validation
328974,379731,12/14/2010,5864,2952,1,Validation
1062366,379731,7/26/2012,5865,2952,1,Validation
16459,52076,2/3/2003,5866,167243,1,Validation
41978,49615,2/10/2003,5868,11948,1,Validation
36919,94583,1/4/2011,5869,84300,1,Validation
2799450,269983,2/16/2014,5871,139095,1,Validation
347233,60504,5/24/2011,5872,112026,1,Validation
476076,335947,11/10/2008,5874,112144,1,Validation
473618,401837,12/28/2012,5876,58885,1,Validation
685371,77833,9/23/2008,5879,153734,1,Validation
1163726,295852,6/29/2009,15598,16310,1,Validation
324790,372506,11/27/2009,5882,174435,1,Validation
372937,247550,5/1/2008,5885,170810,1,Validation
282948,144921,1/17/2006,5887,24188,0,Validation
1186940,379649,8/12/2009,5889,160471,1,Validation
236760,474812,3/4/2012,5894,175305,1,Validation
556387,291811,9/7/2008,5895,169014,1,Validation
304626,323351,11/24/2009,5897,158881,1,Validation
293971,250842,9/10/2007,5898,106595,1,Validation
513529,239787,1/30/2008,5899,102995,1,Validation
1434446,400444,7/23/2010,5901,2967,1,Validation
2042603,400444,4/18/2013,5902,2967,1,Validation
1636313,73352,6/22/2010,5900,166273,1,Validation
8005,167512,5/12/2006,5903,66865,1,Validation
75998,64997,4/10/2004,5904,144719,1,Validation
221741,200488,12/15/2006,5907,125073,1,Validation
337952,286165,7/15/2008,5908,143942,1,Validation
1734515,451239,3/16/2013,5911,37333,1,Validation
1715480,133456,8/21/2013,5912,110885,1,Validation
1922023,454945,5/31/2011,5914,173096,1,Validation
368231,192576,12/21/2006,5916,125420,1,Validation
218099,129636,2/23/2006,5917,146651,1,Validation
109608,336323,10/5/2010,5918,177681,0,Validation
1254581,336323,8/17/2010,25061,177681,0,Validation
58989,300159,9/26/2008,5920,155661,1,Validation
187236,259076,1/13/2009,5921,161660,0,Validation
