user_id,recipe_id,rating,u,i,is_rating_above_aveage,
8937,44551,4,2,173538,1,Training
56680,126118,4,16,177847,1,Training
349752,219596,0,26,89896,0,Training
628951,82783,2,45,172637,0,Training
92816,435013,3,52,177935,0,Training
280271,228179,5,55,178179,1,Training
345569,186470,0,57,177482,0,Training
724516,298748,5,71,177749,1,Training
176615,118119,0,82,178250,0,Training
56112,166712,5,89,177821,1,Training
537179,78641,4,91,177805,1,Training
222478,437144,5,97,178178,1,Training
22898,65976,5,101,173681,1,Training
857489,311630,5,120,178097,1,Training
1056692,312579,4,122,177486,1,Training
89831,74778,5,130,178228,1,Training
107583,141156,5,141,178186,1,Training
461834,479953,5,143,177720,1,Training
148715,99695,5,150,173783,1,Training
1206102,207099,5,152,178117,1,Training
213139,366693,4,159,178159,1,Training
128541,50194,5,163,177808,1,Training
865936,221247,5,165,178180,1,Training
592157,80001,5,166,175826,1,Training
323186,482126,5,172,178192,1,Training
585496,173241,4,173,146887,1,Training
320449,282862,4,174,143653,1,Training
220348,394419,5,179,178249,1,Training
2324285,484976,4,181,177773,1,Training
459426,223667,4,183,167455,1,Training
1248992,223667,4,24491,167455,1,Training
41578,214340,5,184,177748,1,Training
583349,301423,4,204,176454,1,Training
1363685,200334,5,217,144813,1,Training
6357,51255,5,220,177921,1,Training
650039,270812,4,222,164871,1,Training
326176,193693,5,229,161175,1,Training
66983,99932,4,230,176412,1,Training
65056,42144,5,231,176816,1,Training
430471,348804,5,234,177074,1,Training
29655,212273,5,240,176240,1,Training
179133,354719,5,248,178209,1,Training
560491,460590,5,249,177830,1,Training
412530,107254,5,251,102,1,Training
1613349,130161,5,252,103,1,Training
59144,128299,5,253,169475,1,Training
1251273,3665,5,256,94251,1,Training
527886,44312,4,261,177776,1,Training
844554,286499,5,263,178254,1,Training
88378,222461,5,268,177251,1,Training
900992,345454,5,270,177533,1,Training
22973,44292,5,274,177410,1,Training
721900,285589,5,20178,176231,1,Training
28201,24252,5,283,174556,1,Training
61660,21901,2,295,177306,0,Training
47892,71223,4,305,177891,1,Training
412186,227056,4,311,178236,1,Training
310518,298141,3,314,159728,0,Training
53522,375281,4,316,136074,1,Training
840768,269128,0,317,177812,0,Training
186855,170153,4,323,178216,1,Training
13483,81808,5,330,177726,1,Training
60486,203930,2,331,167670,0,Training
197788,225183,4,333,148009,1,Training
445432,112156,0,334,77371,0,Training
124449,334224,5,335,175218,1,Training
1239906,390444,4,337,175951,1,Training
599450,303275,5,340,178170,1,Training
303109,297210,4,341,155669,1,Training
452940,369768,5,347,177722,1,Training
1783373,374360,4,351,176695,1,Training
129958,59945,5,352,176073,1,Training
278118,280076,5,355,177105,1,Training
11297,196443,5,358,177997,1,Training
239758,118870,5,361,178165,1,Training
160974,109761,5,369,176568,1,Training
196217,109761,5,14025,176568,1,Training
1024982,219895,5,370,176713,1,Training
80353,70878,4,377,178193,1,Training
223325,100048,4,383,160210,1,Training
62043,47972,5,385,174728,1,Training
362983,418800,4,386,173524,1,Training
545970,177561,5,392,140367,1,Training
744367,434811,5,393,31701,1,Training
