user_id,recipe_id,rating,u,i,is_rating_above_average
8937,44551,4,2,173538,1
56680,126118,4,16,177847,1
349752,219596,0,26,89896,1
628951,82783,2,45,172637,1
92816,435013,3,52,177935,1
280271,228179,5,55,178179,1
345569,186470,0,57,177482,1
724516,298748,5,71,177749,1
176615,118119,0,82,178250,0
56112,166712,5,89,177821,1
537179,78641,4,91,177805,1
222478,437144,5,97,178178,1
22898,65976,5,101,173681,1
857489,311630,5,120,178097,1
1056692,312579,4,122,177486,1
89831,74778,5,130,178228,1
107583,141156,5,141,178186,1
461834,479953,5,143,177720,1
148715,99695,5,150,173783,1
1206102,207099,5,152,178117,1
213139,366693,4,159,178159,1
128541,50194,5,163,177808,1
865936,221247,5,165,178180,1
592157,80001,5,166,175826,1
323186,482126,5,172,178192,1
585496,173241,4,173,146887,1
320449,282862,4,174,143653,1
220348,394419,5,179,178249,1
2324285,484976,4,181,177773,1
459426,223667,4,183,167455,1
1248992,223667,4,24491,167455,1
41578,214340,5,184,177748,1
583349,301423,4,204,176454,1
1363685,200334,5,217,144813,1
6357,51255,5,220,177921,1
650039,270812,4,222,164871,1
326176,193693,5,229,161175,1
66983,99932,4,230,176412,1
65056,42144,5,231,176816,1
430471,348804,5,234,177074,1
29655,212273,5,240,176240,1
179133,354719,5,248,178209,1
560491,460590,5,249,177830,1
412530,107254,5,251,102,1
1613349,130161,5,252,103,1
59144,128299,5,253,169475,1
1251273,3665,5,256,94251,1
527886,44312,4,261,177776,1
844554,286499,5,263,178254,1
88378,222461,5,268,177251,1
900992,345454,5,270,177533,1
22973,44292,5,274,177410,1
721900,285589,5,20178,176231,1
28201,24252,5,283,174556,1
61660,21901,2,295,177306,0
47892,71223,4,305,177891,1
412186,227056,4,311,178236,1
310518,298141,3,314,159728,0
53522,375281,4,316,136074,1
840768,269128,0,317,177812,0
186855,170153,4,323,178216,1
13483,81808,5,330,177726,1
60486,203930,2,331,167670,0
197788,225183,4,333,148009,1
445432,112156,0,334,77371,1
124449,334224,5,335,175218,1
1239906,390444,4,337,175951,1
599450,303275,5,340,178170,1
303109,297210,4,341,155669,1
452940,369768,5,347,177722,1
1783373,374360,4,351,176695,1
129958,59945,5,352,176073,1
278118,280076,5,355,177105,1
11297,196443,5,358,177997,1
239758,118870,5,361,178165,1
160974,109761,5,369,176568,1
196217,109761,5,14025,176568,1
1024982,219895,5,370,176713,1
80353,70878,4,377,178193,1
223325,100048,4,383,160210,1
62043,47972,5,385,174728,1
362983,418800,4,386,173524,1
545970,177561,5,392,140367,1
744367,434811,5,393,31701,1
198154,329190,4,395,174833,1
138861,120839,0,400,176973,0
102058,245761,4,404,177551,1
381180,500190,5,420,178164,1
479694,21220,2,429,116281,1
1197624,241380,2,451,150751,0
435094,203833,4,12621,48387,1
28177,339391,5,461,177649,1
56003,392411,5,462,178234,1
265954,350049,4,464,163260,1
166475,68631,4,467,175460,1
152946,124417,2,469,167,0
88099,50804,4,470,178260,1
191533,229513,4,473,170788,1
860079,370184,5,476,178017,1
89549,350998,5,477,175264,1
422893,239587,5,484,177455,1
590105,185154,4,486,175421,1
168896,249199,5,487,176205,1
359395,249199,5,8766,176205,1
470447,8690,5,15746,147357,1
446523,213429,4,497,176223,1
464080,171138,3,498,177711,0
453440,378695,5,500,153186,1
58538,77198,5,509,144419,1
25792,48394,5,514,177341,1
171303,117268,5,516,175028,1
335737,205692,5,517,175648,1
430663,150600,5,521,86778,1
215898,76358,5,523,177229,1
515964,144367,4,524,83490,1
650938,347814,4,528,47066,1
520002,455540,5,531,62385,1
251626,157994,4,532,169712,1
169969,124656,5,533,177742,1
1477212,200871,5,534,112302,1
317606,207519,5,537,173025,1
2156777,18052,5,549,174351,1
95743,110770,5,552,178175,1
310874,168940,5,553,26707,1
176843,193627,4,555,149577,1
324993,9284,5,556,154473,1
377581,149367,4,557,174436,1
863904,387364,3,559,70544,0
377070,297525,5,563,169931,1
199848,373585,5,564,178197,1
86855,61443,5,572,113990,1
140806,178270,4,573,162306,1
540142,248258,5,582,168891,1
237123,179826,0,584,175146,0
371105,318432,3,589,88159,0
130728,60303,5,10324,172190,1
873008,493883,5,592,92450,1
43642,50851,5,593,174115,1
156034,102310,4,599,175819,1
220166,179686,4,600,177834,1
1967997,431022,3,601,164245,0
268973,179364,5,603,169205,1
895154,173410,5,16674,44937,1
360127,30280,4,606,70858,1
1034569,337073,4,611,167606,1
329753,387559,4,614,172151,1
141980,125756,5,615,173984,1
545825,429687,5,621,177578,1
177933,172633,5,623,171606,1
623399,222401,4,624,168052,1
67656,153500,5,629,177810,1
211184,432730,5,630,178248,1
270370,237140,5,635,153251,1
437727,340242,5,640,177278,1
2574795,466974,4,641,156704,1
331557,167078,5,645,174967,1
326297,167078,4,17197,174967,1
226145,396461,5,647,176077,1
1398656,161684,4,648,141337,1
1667251,216691,5,649,103184,1
1171065,216691,5,23461,103184,1
131349,60076,5,650,167737,1
384918,102302,5,652,171258,1
328048,455434,5,653,172077,1
1226388,503333,5,654,149882,1
21443,147100,5,659,177522,1
151547,60112,5,661,171902,1
173314,122820,5,663,170003,1
306106,220692,2,664,177334,0
1230562,361575,4,668,170994,1
623290,102470,4,20235,150518,1
239808,170168,5,672,167861,1
65197,231202,5,673,176651,1
278516,144946,5,676,172953,1
358015,148073,5,22207,45459,1
41767,10730,5,678,48483,1
1041886,285602,5,684,144741,1
1795171,285602,2,20001,144741,0
41218,134504,4,690,174013,1
13593,252892,5,693,178184,1
46545,78619,0,699,175562,0
120849,78619,5,3269,175562,1
749562,101842,5,705,151528,1
141972,230412,5,706,150952,1
311625,339336,4,708,174063,1
439797,367370,5,710,172421,1
2388839,367370,5,23686,172421,1
28636,191220,5,711,178231,1
1048179,304186,5,713,177186,1
1396309,320281,5,715,145097,1
307214,496794,5,716,174456,1
515278,343831,5,718,176599,1
464333,402235,5,722,175642,1
289308,402235,5,7111,175642,1
54716,149739,3,724,171048,0
526666,481913,5,727,178210,1
618715,268933,4,729,172411,1
303545,161756,4,731,172631,1
346576,291381,5,732,173691,1
363420,282009,5,733,160413,1
477439,393783,3,737,154483,0
288218,177774,4,742,176475,1
196296,130863,5,746,176318,1
217226,136732,4,747,171148,1
328077,328595,5,748,144450,1
237330,105526,5,749,168118,1
294700,132608,5,750,175060,1
295863,132608,4,11628,175060,1
269891,148583,4,751,166059,1
318822,115464,5,22747,175293,1
159243,143528,4,757,145734,1
394810,94072,5,761,68694,1
226462,41078,5,770,177898,1
383853,393324,5,771,177436,1
49561,14129,0,772,167212,0
314280,14129,4,23229,167212,1
632249,510745,4,775,178154,1
178742,289924,5,800,165524,1
951955,140077,5,804,124149,1
244264,65259,5,806,95833,1
51501,38707,4,813,176211,1
634323,320079,3,815,176996,0
486725,202938,5,816,177744,1
738401,75441,4,818,176028,1
207176,161904,0,819,177917,0
1675225,412065,4,821,143409,1
375111,107203,4,822,171579,1
571739,147280,4,823,150549,1
356062,320346,5,824,175910,1
58931,420745,5,826,177719,1
52282,282680,5,829,177736,1
37215,3335,4,838,112248,1
58407,18687,4,840,175628,1
86627,105924,4,841,172420,1
250238,262845,5,847,165542,1
55729,383626,0,848,176521,0
248008,84048,5,3818,163123,1
68884,110741,3,852,167172,0
103876,64557,5,857,174953,1
418071,251050,5,859,150431,1
480441,280657,5,862,155274,1
452210,96998,5,864,155557,1
696386,130912,5,869,75165,1
715957,485228,5,872,41553,1
874900,253928,4,875,166385,1
1231301,323953,4,876,129918,1
876090,302853,5,880,111269,1
714171,352375,5,882,84779,1
1191030,376539,4,883,138368,1
717914,307856,3,885,117523,0
1028382,240847,1,887,99526,0
291378,45884,5,893,178211,1
186802,303498,5,894,174588,1
53002,125720,5,899,151318,1
397051,125720,5,24830,151318,1
175492,134848,5,900,177165,1
223854,385786,5,902,175787,1
284897,209582,5,903,174623,1
67728,294555,5,909,178144,1
250920,39773,4,915,172040,1
321371,277163,5,916,163657,1
1142804,244983,5,917,57933,1
713116,271049,4,923,168431,1
110078,120311,5,924,151089,1
130663,137101,5,926,176498,1
1221074,380318,5,928,69436,1
163112,116060,5,929,178157,1
161747,31171,5,930,141258,1
189643,90362,5,931,174068,1
37107,204199,3,935,76730,0
214855,268786,5,936,178100,1
112064,115178,5,7492,4300,1
261366,76234,5,939,15943,1
309581,76234,5,15430,15943,1
323933,308729,3,943,20233,0
424333,203861,4,947,166226,1
344231,248830,4,948,175586,1
1206909,337768,5,952,173327,1
1905458,438082,5,953,96549,1
1506667,438082,5,22757,96549,1
2384579,236780,4,954,155222,1
890853,314038,0,957,162328,0
361069,242415,5,958,169969,1
206385,164846,5,959,91282,1
870840,414617,4,962,138551,1
451456,323752,5,964,176316,1
396078,293414,3,969,172343,0
14000,202046,5,970,150054,1
717058,202046,5,16618,150054,1
125266,306759,1,972,129686,0
221624,25256,4,973,176846,1
32643,25256,4,17133,176846,1
99785,41753,3,974,83655,0
60575,10042,5,975,85183,1
258528,214441,5,977,163605,1
354675,469148,5,979,175121,1
695933,351233,5,981,177352,1
248772,150843,5,982,19793,1
678456,72314,3,983,164601,0
101153,424959,5,987,166871,1
122878,313128,0,989,152095,0
146187,222905,5,994,172648,1
123865,79884,5,1000,92315,1
29405,23810,5,1001,174879,1
441833,23810,1,12256,174879,0
118504,70529,3,9329,156813,0
166711,158175,5,1006,160816,1
229158,158175,5,25074,160816,1
709548,212526,4,1020,163955,1
68605,51604,5,1021,147196,1
1418504,373260,4,1023,129297,1
884411,123531,5,1026,55492,1
768828,199167,3,1027,173716,0
1616592,391032,4,1031,166740,1
104295,141361,3,1035,177761,0
579298,301060,5,1037,161803,1
487279,136858,4,1041,177675,1
205783,106022,5,1042,172487,1
57437,258136,5,1044,165620,1
93726,468445,4,1045,155339,1
407625,152225,5,1047,161318,1
199418,43951,5,1052,169480,1
78864,55158,4,18843,62914,1
1856666,201895,5,1053,111533,1
165933,120294,5,1054,178183,1
1900559,527547,4,1057,174054,1
68526,254827,5,1058,177174,1
1157312,336704,3,1060,170128,0
8000,7804,5,1063,143444,1
7308,32109,0,1064,123178,0
185105,65038,5,1068,174172,1
175574,145590,5,1069,164134,1
71324,196753,5,1070,175035,1
425154,101949,4,1076,173801,1
485109,380693,0,1078,162595,0
542060,261461,5,1079,3951,1
74904,186116,5,1081,166228,1
1060667,488794,5,1084,177779,1
56463,23854,5,1091,177880,1
328235,177317,4,1093,125255,1
1375688,417624,5,1103,378,1
57256,68805,4,1106,175720,1
330937,179276,4,1108,173215,1
54271,104730,5,1111,178194,1
116401,117640,5,1113,173760,1
246293,108361,3,1115,125497,0
308889,168189,5,1118,121148,1
529278,108758,5,1121,162025,1
363055,144819,5,1124,168664,1
853067,366881,5,1125,175288,1
283390,44834,5,1128,176109,1
936577,110723,5,1129,108672,1
60716,390977,4,1130,176658,1
457625,237764,5,1132,30560,1
371126,150411,5,1135,149168,1
360369,329206,0,1138,174166,0
839492,85232,5,1139,173628,1
104870,85232,5,9196,173628,1
55461,41612,5,1143,147129,1
1333172,424323,5,1144,126266,1
319738,166166,5,1145,150872,1
228742,149584,5,1146,166868,1
740120,262530,0,1148,143651,0
256795,137078,5,1149,172359,1
1365025,325634,5,1150,176504,1
394617,244997,1,1151,175959,0
385999,205578,5,1152,174808,1
343028,360927,5,1153,174754,1
363888,191839,5,1154,167077,1
549669,213553,4,1155,154353,1
47559,504659,5,1157,178068,1
746803,424875,4,1158,175430,1
69161,96468,5,1163,176818,1
233319,96468,4,20477,176818,1
832019,251934,4,1165,145484,1
729254,322753,5,1167,134708,1
1167599,316520,0,1168,130062,0
315565,455110,5,1170,176632,1
84386,33099,3,1171,163444,0
231198,289546,4,1172,174330,1
394085,201401,5,1175,177987,1
85309,217836,5,1176,173689,1
142386,255508,5,1197,166693,1
1355934,103648,5,1199,178029,1
1020526,370337,5,1201,168823,1
202432,97089,0,1205,175274,0
281208,14905,3,9126,168801,0
15572,15371,4,1206,171073,1
387646,198626,5,18820,159766,1
531310,298188,5,1211,171282,1
354758,446209,0,1214,102106,0
316809,421718,4,1219,174371,1
1142897,443909,5,1220,130505,1
111899,373931,5,1222,171431,1
161825,373931,5,7624,171431,1
623331,302498,5,1223,171823,1
484436,406032,5,1224,156742,1
199792,395810,5,1225,177927,1
583577,125161,5,1226,159035,1
126032,105535,5,1228,168896,1
1521931,258113,5,21675,173015,1
646304,245007,5,1233,149527,1
139962,124607,5,1235,118398,1
373020,434506,5,1236,172495,1
221044,204677,4,1238,126814,1
117440,83583,4,1242,149116,1
459415,169243,5,1246,70186,1
608913,168688,5,1247,112584,1
374520,125357,5,1248,160262,1
488441,479395,4,1249,173213,1
469831,263745,5,1251,176721,1
44393,19910,3,1252,138374,0
168037,398695,5,1254,151128,1
1052871,19011,0,21075,176386,0
236470,139504,5,1255,177183,1
916115,404754,3,1256,17802,0
99325,107791,5,1257,173706,1
172369,49989,5,1258,177974,1
95241,171679,4,1260,168885,1
465829,281907,4,1262,176724,1
463435,143144,5,1265,177564,1
212497,180007,5,1268,175718,1
341142,181033,5,1269,174958,1
357358,48756,4,1272,175914,1
477411,359196,4,1273,178126,1
341170,386980,5,1275,178066,1
518581,159843,1,1276,176446,0
65502,199368,5,1279,177246,1
444622,56943,5,1282,177802,1
258285,171293,4,1283,172027,1
169663,171293,5,23529,172027,1
38218,27432,5,1284,173650,1
