brand,rating,totalReviews
Apple,3.7,50
Motorola,3.8,36
Samsung,3.4,1
Nokia,3.1,331
Samsung,3.6,41
Samsung,4.8,8
Sony,4.2,47
Samsung,4,750
Nokia,3.1,6
Samsung,4.4,269
ASUS,3.9,105
Samsung,4.4,163
Apple,4.3,368
Google,4.2,46
Nokia,3.5,48
Nokia,3.3,409
Samsung,4.6,12
HUAWEI,4.4,23
Samsung,4.1,2
Apple,3.9,72
Apple,3.9,57
Google,3.7,18
Samsung,5,1
Samsung,3.9,499
Apple,4,50
Samsung,3.7,738
Sony,3.2,71
Apple,3.9,2
Apple,4,1
Samsung,3.6,3
ASUS,3.9,27
ASUS,4.2,79
Samsung,3.9,1
Samsung,4.2,106
Samsung,4,35
Samsung,2.8,6
Motorola,3.9,50
Samsung,3.8,10
Nokia,3.3,374
Apple,4,306
Motorola,4.2,166
Google,3.8,64
Samsung,4.3,69
Motorola,4,178
Apple,3.2,111
Motorola,3.1,6
ASUS,3.4,76
Apple,3.3,62
HUAWEI,4.4,327
Motorola,4,316
Motorola,4.1,188
Motorola,3.9,697
Motorola,3.5,123
Apple,3.8,1
ASUS,3.4,148
Apple,3.6,318
Samsung,2.4,5
Motorola,3.9,119
Xiaomi,4.3,442
Motorola,3.4,7
HUAWEI,4.4,94
Samsung,4.1,24
Samsung,3.7,29
Apple,3.6,300
Samsung,3.7,4
Samsung,4.1,516
Motorola,4,22
Motorola,3.8,145
Nokia,3.6,470
Apple,3.8,193
HUAWEI,4.2,8
Samsung,4,45
Samsung,3.9,77
Samsung,4.1,742
Apple,3.5,53
Samsung,3.9,46
Apple,3.5,53
Samsung,2.5,4
Samsung,1,1
OnePlus,4.2,19
Samsung,4.4,18
HUAWEI,4,25
Apple,3.7,50
HUAWEI,4,1
Samsung,5,2
Samsung,4.3,203
Samsung,4,88
Apple,3.8,294
Google,3.7,66
Samsung,3,2
Samsung,3.9,35
Sony,4,168
Samsung,5,5
Samsung,1,1
Samsung,3.5,53
HUAWEI,3.7,12
Apple,4.3,368
Apple,4.6,25
Samsung,4,36
Samsung,3,1
HUAWEI,4.6,142
Google,5,4
Samsung,4.4,124
Samsung,3.8,9
OnePlus,1,1
Samsung,2,1
Samsung,3.6,3
Samsung,5,2
Samsung,3.7,301
Samsung,4.2,71
Sony,4,78
Motorola,4,38
Google,3.7,9
Samsung,1,1
Samsung,3,103
Samsung,4.1,36
Samsung,5,1
Apple,4.1,444
Samsung,2.9,2
Sony,3.9,39
Samsung,3.8,8
Apple,4.1,444
Sony,4,131
Samsung,3.4,18
HUAWEI,4.3,67
Samsung,4,494
OnePlus,4.2,61
Samsung,4.5,42
HUAWEI,4.3,90
Samsung,4.5,42
Sony,3.7,189
Apple,3.4,22
Google,4,132
Samsung,3.9,9
Google,2,1
Samsung,3.3,5
HUAWEI,4.4,561
Xiaomi,4.6,27
Samsung,3.2,16
Xiaomi,4.5,40
Google,3.8,28
Apple,4.2,9
Sony,3.8,281
Samsung,1,1
Google,5,1
Google,3.9,128
Google,3.7,48
Apple,4,38
Apple,3.8,107
Samsung,2.9,8
Xiaomi,4.6,30
Google,3.9,15
Google,3.9,128
Apple,4,24
Google,4.2,127
Xiaomi,4.2,57
Sony,5,1
Samsung,2,1
Samsung,4,610
Samsung,4.1,104
Samsung,3.7,22
Samsung,3.8,292
Samsung,4.2,225
Samsung,3.8,11
Samsung,4.4,19
Samsung,4.4,14
Samsung,4.4,34
Samsung,3.6,21
Samsung,4.2,193
Xiaomi,4.2,20
Motorola,4.2,166
Xiaomi,4,21
Samsung,3.1,113
Apple,3.8,5
Apple,3.8,53
Samsung,3.9,40
Samsung,4.5,15
Samsung,3.4,17
Samsung,3.9,640
Samsung,4.2,56
Sony,3.5,9
Xiaomi,4.4,202
Apple,4,74
Samsung,3.6,32
Samsung,4.6,15
Samsung,3.9,303
Samsung,4.2,29
Samsung,4.6,20
Samsung,4.2,334
Samsung,3,1
Motorola,4.1,21
HUAWEI,4.8,12
Samsung,4,650
Samsung,4.7,7
Samsung,3.8,4
OnePlus,3.8,16
Samsung,4.5,40
Motorola,3.5,1
Samsung,3.6,13
Motorola,3.6,45
Samsung,3.6,77
OnePlus,2.3,7
Xiaomi,4.5,68
Apple,4,1
Nokia,3.2,9
Samsung,4,1
Samsung,4.2,24
Apple,3.6,16
Apple,2.1,2
Samsung,3.8,6
Apple,3.7,57
Samsung,2.2,5
Apple,3.6,2
Apple,4.1,5
Samsung,5,1
Samsung,3.6,20
Samsung,5,2
Google,4.1,20
Samsung,4.2,27
Samsung,5,1
Samsung,2.8,10
Samsung,3.6,80
Apple,3.1,26
Samsung,4,49
Samsung,3.8,82
Samsung,3.8,80
Samsung,4,1
Samsung,4.4,55
Samsung,3.7,36
Samsung,4.3,144
Samsung,2,1
Samsung,3.3,27
Samsung,3.8,100
Apple,5,3
Samsung,3.1,7
Samsung,3.9,1
Samsung,3.6,107
Samsung,3.4,138
ASUS,4.5,12
Samsung,3.5,14
Samsung,3.5,37
ASUS,4,14
Samsung,4.1,31
Samsung,3.8,236
Samsung,3.9,69
Samsung,3,4
Samsung,4.2,59
Google,4.1,385
Samsung,3.5,129
Samsung,3.6,199
Samsung,3,60
Sony,3.8,283
Sony,2.9,228
Apple,4.3,5
Samsung,4.3,14
HUAWEI,3.7,6
Samsung,3,3
Sony,3.8,70
Samsung,3.8,21
Samsung,4.1,20
Samsung,4,68
Samsung,4.1,60
Samsung,4.2,242
Samsung,4.1,201
Apple,3.3,270
Samsung,3.4,1
Samsung,3.2,37
Apple,3.6,87
Samsung,4,22
Samsung,4.3,69
Samsung,2.8,5
Samsung,3.4,6
Nokia,3.7,235
Samsung,3.5,495
Apple,3.2,29
Motorola,4.2,78
Google,3.4,392
Samsung,3.2,218
Samsung,3.4,12
Apple,4.2,9
Apple,2.7,3
Samsung,2.9,2
Google,3.5,284
Motorola,3.7,123
Samsung,3.6,416
Google,3.6,277
Apple,3.7,292
Apple,3.6,3
Apple,3.9,79
Xiaomi,4,4
Samsung,3.9,17
HUAWEI,4.2,505
Motorola,4,1
Samsung,3.7,550
Samsung,3.8,55
Apple,2.3,5
Samsung,3,64
Xiaomi,4.4,143
Xiaomi,4.2,132
